topic,url,status,audience,update_frequency
Candidate keys and alternate keys,,not written,practitioners,never
Functional dependencies in analytical tables,,not written,practitioners,never
Composite keys in business event data,,not written,practitioners,never
Natural keys versus surrogate keys,,not written,practitioners,never
Referential integrity across analytical tables,,not written,practitioners,never
SQL null and three-valued logic,,not written,practitioners,never
Set semantics versus bag semantics in SQL,,not written,practitioners,never
First normal form and repeating groups,,not written,practitioners,never
Second and third normal forms,,not written,practitioners,never
Lossless decomposition of relational tables,,not written,practitioners,never
Entity identity versus record identity,,not written,practitioners,never
Optional relationships in data models,,not written,practitioners,never
Cardinality and participation constraints,,not written,practitioners,never
Weak entities and identifying relationships,,not written,practitioners,never
Associative entities for many-to-many relationships,,not written,practitioners,never
Database constraints versus validation queries,,not written,practitioners,never
Uniqueness with nullable business identifiers,,not written,practitioners,never
Domain constraints for categorical data,,not written,practitioners,never
Relational division for analytical questions,,not written,practitioners,never
Temporal uniqueness constraints,,not written,practitioners,never
Floating-point error in financial analytics,,not written,practitioners,never
Fixed-point decimal precision and scale,,not written,practitioners,never
Rounding at ingestion versus presentation,,not written,practitioners,never
Rounding residuals in proportional allocations,,not written,practitioners,never
Integer overflow in aggregate calculations,,not written,practitioners,never
Division by zero in business ratios,,not written,practitioners,never
Negative values in rate calculations,,not written,practitioners,never
Unit conversions in analytical models,,not written,practitioners,never
Currency conversion dates in reporting,,not written,practitioners,never
Exchange-rate direction and inversion,,not written,practitioners,never
Percentage points versus percentage changes,,not written,practitioners,never
Approximate distinct counts and error bounds,,not written,practitioners,never
Variance aggregation across partitions,,not written,practitioners,never
Numerical stability in variance calculations,,not written,practitioners,never
Geometric means for compounded growth,,not written,practitioners,never
Logarithmic scales in operational metrics,,not written,practitioners,never
Sign conventions for debits and credits in data,,not written,practitioners,never
Precision loss in identifier conversions,,not written,practitioners,never
Missing measurements versus measured zero,,not written,practitioners,never
Event time versus processing time,,not written,practitioners,never
UTC storage and local reporting boundaries,,not written,practitioners,never
Daylight-saving gaps and repeated hours,,not written,practitioners,never
Half-open time intervals,,not written,practitioners,never
Business calendars in analytical models,,not written,practitioners,never
Fiscal calendars and reporting periods,,not written,practitioners,never
ISO week years versus calendar years,,not written,practitioners,never
Timestamp precision across system boundaries,,not written,practitioners,never
Clock skew in distributed event logs,,not written,practitioners,never
Late-arriving data in closed reporting periods,,not written,practitioners,never
Effective time versus recorded time,,not written,practitioners,never
Bitemporal data modeling,,not written,practitioners,never
Time-zone identifiers versus fixed offsets,,not written,practitioners,never
Elapsed duration versus calendar duration,,not written,practitioners,never
Date-only fields versus midnight timestamps,,not written,practitioners,never
Epoch units and timestamp conversion,,not written,practitioners,never
Ordering events with identical timestamps,,not written,practitioners,never
Temporal gap detection in status histories,,not written,practitioners,never
Overlapping validity intervals,,not written,practitioners,never
